	MFP
GSM478912	D
GSM478913	D
GSM478937	D
GSM478939	D
GSM478946	D
GSM478947	D
GSM478948	D
GSM478914	F
GSM478915	F
GSM478916	F
GSM478925	F
GSM478943	F
GSM478932	F
GSM478924	F
GSM478942	F
GSM478944	F
GSM478945	F
GSM478956	F
GSM478917	D
GSM478920	IE
GSM478949	D
GSM478963	D
GSM478918	IE
GSM478919	IE
GSM478926	IE
GSM478927	IE
GSM478952	IE
GSM478960	IE
GSM478922	IE/F
GSM478923	IE/F
GSM478961	IE/F
GSM478955	F
GSM478934	IE
GSM478935	IE
GSM478954	IE
GSM478958	IE
GSM478950	IE
GSM478928	
GSM478929	
GSM478930	
GSM478959	
GSM478933	IE
GSM478936	D
GSM478938	D
GSM478940	IE/F
GSM478941	F
GSM478951	IE
